Station,Latitude,Longitude
H. E. Holmes,33.7545,84.47
West Lake,33.7531,84.4461
Ashby,33.7562,84.4169
College Park,33.6513,84.4488
East Point,33.6774,84.4405
Lakewood,47.1532,122.4991
Oakland City,33.7171,84.4251
West End,33.736,84.4136
Indian Creek,33.7697,84.2298
Kensington,51.4978,0.2099
Avondale,33.7751,84.2824
East Lake,33.7652,84.313
Edgewood,39.4161,76.2928
Inman Park,33.7577,84.3526
North Springs,33.945,84.3573
Sandy Springs,33.9321,84.3514
Dunwoody,33.9212,84.3443
Medical Center,33.9106,84.3514
Lindbergh Center,33.8226,84.3695
Doraville,33.9034,84.2792
Chamblee,33.8878,84.3054
Brookhaven,33.8603,84.3392
Lenox,33.8451,84.3588
